timestamp,mean_angleY,mean_angleZ,mean_flexAngle,min_flexAngle,max_flexAngle
2025-06-29T14:59:02.940Z,0.09,-55.56,5,0,25.2
2025-06-29T15:00:03.138Z,0.45,-54.08,5.5,0,33.3
2025-06-29T15:01:03.463Z,1.55,-65.76,4.7,0,38.7
2025-06-29T15:02:03.651Z,0.29,-54.07,3.3,0,5.4
2025-06-29T15:03:03.821Z,3.83,5.71,14.1,0,90
2025-06-29T15:04:04.100Z,5.97,-3.94,6.5,0,39.6
2025-06-29T15:05:16.724Z,0.38,-13.69,2.4,0.9,4.5
2025-06-30T15:58:07.108Z,-0.02,6.81,3.5,0,30.6
2025-06-30T15:59:08.232Z,-0.02,12.72,4.7,1.8,16.2
2025-06-30T16:00:08.556Z,0.02,19.25,1.7,0,9
2025-06-30T16:01:08.768Z,0,26.39,1.6,0,9
2025-06-30T16:02:10.057Z,0.93,31.66,21.6,0,90
2025-07-05T13:24:39.207Z,0.28,-51.96,11.9,0,16.2
2025-07-05T13:25:39.233Z,0.21,-41.6,2.4,0,34.2
2025-07-05T13:27:42.330Z,0.21,-56.1,2,0,13.5
2025-07-05T13:29:26.689Z,0.13,-0.04,6.1,0,60.3
2025-07-05T13:30:28.210Z,9.7,-1.08,4.3,0,48.6
2025-07-05T13:42:04.593Z,1.24,0.01,0.7,0,14.4
2025-07-05T13:43:04.670Z,8.67,1,3.2,0,38.7
2025-07-05T13:44:05.612Z,3.26,4.92,2.7,0.9,9
2025-07-05T13:46:34.516Z,-2.99,-0.22,4.7,0.9,21.6
2025-07-05T13:55:32.574Z,0.36,-4.11,1.4,0.9,1.8
2025-07-05T13:56:32.675Z,5.33,2.6,4.5,0,45
2025-07-05T13:57:32.905Z,6.5,0.34,2.7,0,14.4
2025-07-05T13:58:33.295Z,2.94,-5.01,5.8,0.9,90
2025-07-05T13:59:34.699Z,0.45,-5.23,2.7,0,26.1
2025-07-05T14:00:34.944Z,7.17,-1.49,2.4,0,19.8
2025-07-05T14:01:35.156Z,5.9,0.11,17.2,0,83.7
2025-07-05T14:10:07.343Z,-1.39,0.02,2,0,15.3
2025-07-05T14:11:07.381Z,2.75,0.97,5.3,0,42.3
2025-07-05T14:16:59.683Z,2.58,0.24,2.9,0,8.1
2025-07-05T14:19:31.414Z,-0.01,-0.03,1.8,0.9,2.7
2025-07-05T14:21:07.252Z,0.1,-0.04,1.4,0,2.7
2025-07-05T14:22:07.281Z,2.26,1.09,10.5,0,45
2025-08-01T12:32:27.203Z,1.13,0.84,19.5,0.9,90
2025-08-01T12:33:28.678Z,-0.49,0.09,7.3,1.8,23.4
2025-08-01T12:34:30.077Z,-0.49,0.06,5.9,1.8,11.7
2025-08-01T12:35:30.081Z,-0.48,-0.01,6.1,1.8,13.5
2025-08-01T12:36:30.103Z,-0.47,-0.01,5.2,1.8,11.7
2025-08-01T12:37:31.115Z,-0.38,-0.05,4.8,0,9.9
2025-08-01T13:23:28.647Z,-0.47,-0.06,4.8,0.9,9
2025-08-01T13:24:37.769Z,-1.79,-0.18,6.6,4.5,9.9
2025-08-01T13:27:05.736Z,-1.81,-0.14,9.9,9.9,9.9
2025-08-01T13:28:38.413Z,-1.83,-0.09,7.2,0.9,11.7
2025-08-01T13:30:39.443Z,-1.82,-0.07,5.2,0.9,7.2
2025-08-01T13:35:26.981Z,-1.81,-0.1,6.1,5.4,7.2
2025-08-01T13:37:14.093Z,-1.83,-0.07,5.8,4.5,7.2
2025-08-01T13:38:14.313Z,-1.78,-0.12,4.7,0,10.8
2025-08-01T13:39:15.136Z,-1.81,-0.1,5.2,0.9,10.8
2025-08-01T13:40:15.341Z,-1.79,-0.11,9.7,0.9,90
2025-08-01T13:41:15.351Z,-1.81,-0.12,8.4,2.7,11.7
2025-08-01T13:42:16.573Z,-1.79,-0.11,7.8,1.8,15.3
2025-08-01T13:43:16.612Z,-1.79,-0.13,7.9,4.5,11.7
2025-08-01T13:44:18.130Z,-1.83,-0.15,7,3.6,10.8
2025-08-01T13:45:18.339Z,-1.85,-0.15,6.9,4.5,10.8
2025-08-01T13:46:19.473Z,-1.94,-0.17,6.7,1.8,9.9
2025-08-01T13:47:19.890Z,-1.85,-0.21,5.7,0,10.8
2025-08-01T13:48:20.403Z,-1.81,-0.2,5.1,0.9,9.9
2025-08-01T13:49:20.529Z,-1.82,-0.19,15.1,0.9,90
2025-08-01T13:50:21.337Z,-1.71,-0.23,90,90,90
2025-08-01T13:51:22.064Z,-1.73,-0.25,90,90,90
2025-08-01T13:52:22.405Z,-1.6,-0.28,90,90,90
2025-08-01T13:53:23.410Z,-1.35,-0.34,90,90,90
2025-08-01T13:54:55.777Z,-1.28,-0.32,88,10.8,90
2025-08-01T13:55:57.652Z,-1.26,-0.35,10.7,7.2,13.5
2025-08-01T13:56:58.386Z,-1.25,-0.35,10,2.7,10.8
2025-08-01T13:57:59.682Z,-1.26,-0.33,9.9,3.6,12.6
2025-08-01T13:59:00.432Z,-1.25,-0.35,9.4,3.6,18
2025-08-01T14:00:01.270Z,-1.24,-0.33,9.4,8.1,10.8
2025-08-01T14:13:06.148Z,-1.24,-0.35,8.9,5.4,10.8
2025-08-01T14:14:06.366Z,-1.32,-0.3,8.5,5.4,12.6
2025-08-01T14:15:06.378Z,-1.26,-0.33,9.8,7.2,31.5
2025-08-01T14:16:07.724Z,-0.97,-0.42,9.1,6.3,10.8
2025-08-01T14:17:08.711Z,-0.77,-0.43,8.8,6.3,11.7
2025-08-01T14:18:09.332Z,-0.52,-0.47,8.4,0.9,19.8
2025-08-01T14:19:10.023Z,-0.51,-0.49,8.3,3.6,10.8
2025-08-01T14:26:34.573Z,-0.42,-0.47,10.2,8.1,18.9
